"id_master","intervencio_ordre","llm_sentiment_cat","llm_primary_frame","llm_confidence","llm_reasoning","llm_ts"
24729,4,"Empàtic_Positiu","Other",0.88,"La menció a Catalunya apareix només com a lloc de destinació històrica de l’emigració andalusa, dins d’un discurs general favorable als drets dels migrants. No hi ha crítica a Catalunya, ni comparació econòmica amb Andalusia, ni amenaça constitucional, ni atac a un partit nacional per pactes amb forces catalanes. Tampoc es presenta Catalunya com a model de política pública concreta, així que no correspon Positive_Reference.","2026-04-24 01:21:33"
24729,7,"Neutral_Institucional","Other",0.94,"La menció a Catalunya és accessòria i descriptiva, inclosa en una llista de comunitats que han destacat en l’acollida de menors migrants. No hi ha llenguatge pejoratiu ni tampoc una presentació de Catalunya com a model concret de gestió a imitar. Per tant, el to és institucional i el frame no encaixa en les categories específiques, segons les regles d’exclusió.","2026-04-24 01:21:37"
24729,12,"Neutral_Institucional","Other",0.98,"L’extracte no fa una menció substantiva a Catalunya ni a institucions catalanes; el focus és la privatització universitària a Andalusia i l’atac a actors religiosos/empresarials. Segons el codebook, si no hi ha un marc clar sobre Catalunya, no es pot assignar ni grievance, ni amenaça constitucional, ni weaponization vinculada a partits catalans. Per això correspon una codificació residual.","2026-04-24 01:21:41"
24729,21,"Neutral_Institucional","Other",0.98,"L’extracte no ataca Catalunya ni institucions catalanes; la menció rellevant és a Madrid com a lloc on alguns 'hijos de papá' comprarien títols, però no hi ha referència substantiva a Catalunya. Sense menció valorativa a Catalunya, no es pot codificar ni amenaça constitucional, ni greuge econòmic, ni weaponization vinculada a partits catalans. Per tant, correspon una classificació neutral i fora dels marcs específics.","2026-04-24 01:21:45"
24730,35,"Hostil_Negatiu","Electoral_Weaponization",0.9,"L’extracte conté una menció clara a un greuge polític contra el Govern central per \"favoreciendo otros territorios\" i, específicament, per \"condonar\" deute als catalans, en contraposició als interessos d’Andalusia. No es presenta Catalunya principalment com a amenaça constitucional, sinó com a beneficiària d’un tracte desigual. Tampoc és només econòmic abstracte: s’utilitza per atacar el PSOE i Pedro Sánchez, així que el marc dominant és d’instrumentalització electoral.","2026-04-24 01:21:50"
24730,70,"Hostil_Negatiu","Electoral_Weaponization",0.95,"L’extracte combina una comparació econòmica amb Catalunya i, sobretot, un atac a un partit nacional per les seves concessions als independentistes catalans. Segons les regles d’exclusió, quan la menció a Catalunya serveix principalment per atacar un rival polític estatal, el marc dominant és Electoral_Weaponization. El llenguatge és clarament d’alarma i pejoratiu ('chantaje', 'destruir España', 'vender España'), per tant el sentiment és hostil.","2026-04-24 01:21:54"
24730,88,"Hostil_Negatiu","Electoral_Weaponization",0.94,"L’extracte vincula la negociació pressupostària del Govern d’Espanya amb els independentistes catalans per atacar directament Pedro Sánchez i la seva continuïtat a la Moncloa. També hi ha llenguatge d’alarma sobre “privilegios territoriales”, “quiebre la igualdad” i pactes ocults, però el nucli del passatge és l’ús dels partits catalans com a arma contra un partit/govern nacional. No correspon a Grievance_Economics perquè no hi ha una comparació econòmica directa i específica entre Andalusia i Catalunya.","2026-04-24 01:21:58"
24730,92,"Hostil_Negatiu","Electoral_Weaponization",0.91,"L’extracte critica un rival polític nacional en el context de la investidura i esmenta un pacte amb independentistes per deslegitimar-lo. La menció a Catalunya no és econòmica ni presenta un model positiu, sinó que s’utilitza com a arma contra un adversari estatal. El to és clarament despectiu i de confrontació, però no se centra principalment en la unitat d’Espanya sinó en l’atac partidista.","2026-04-24 01:22:03"
24730,94,"Hostil_Negatiu","Electoral_Weaponization",0.95,"L’extracte vincula explícitament una possible investidura de Sánchez amb els vots dels independentistes catalans i ho utilitza per atacar un partit nacional rival. El llenguatge és clarament alarmista i negatiu ('codicia absoluta', 'saca tajada', 'van a perjudicarla'). No és un greuge econòmic pur, perquè el focus principal és el pacte polític estatal amb Esquerra i altres forces.","2026-04-24 01:22:06"
24730,95,"Empàtic_Positiu","Electoral_Weaponization",0.81,"L’extracte defensa el diàleg i la convivència respecte de Catalunya i critica el PP per usar-la per dividir Espanya. No hi ha llenguatge pejoratiu contra Catalunya ni una comparació econòmica amb Andalusia. Tampoc presenta Catalunya com a model de gestió concret, així que el marc principal és l’ús partidista del tema contra un rival nacional.","2026-04-24 01:22:09"
